[ 2024-12-05 19:32:03,219 ] asyncio - DEBUG - Using selector: EpollSelector
[ 2024-12-05 19:32:50,563 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 19:32:50,564 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:9]
[ 2024-12-05 19:32:50,565 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[10:14]
[ 2024-12-05 19:32:50,566 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 19:32:50,567 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 19:32:50,568 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[15:36]
[ 2024-12-05 19:32:50,569 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[37:48]
[ 2024-12-05 19:32:50,570 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 19:32:50,571 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 19:32:50,571 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[49:67]
[ 2024-12-05 19:32:50,572 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[68:69]
[ 2024-12-05 19:32:50,573 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 19:32:50,573 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 19:32:50,574 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[70:91]
[ 2024-12-05 19:32:50,574 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[92:93]
[ 2024-12-05 19:32:50,575 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 19:32:50,575 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 19:32:50,576 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[94:109]
[ 2024-12-05 19:32:50,576 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[110:115]
[ 2024-12-05 19:32:50,577 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
